Paper,Conference,Edition,Year
ParaSite: mining the structural information on the World-Wide Web.,International Congress of Quantum Chemistry,19,2020
A new architecture for packet switching network protocols.,PBIJ ,14,2019
Uma arquitetura para agentes autônomos móveis sob a visão da inteligência artificial distribuída.,AMS ,6,2018
Ultra wide-bandwidth micro energy harvester.,ICTS4eHealth,16,2019
Hamming DHTand HCube: distributed architectures for similarity search.,SP ,19,2017
Projeto e construção de um conversor analogico/digital rapido bipolar tipo duplo folding com novas tecnicas de interpolação e correção de erro.,IDC ,2,2023
Non-invasive wearable sensing systems for continuous health monitoring and long-term behavior modeling.,IC2E ,9,2022
Avaliação clínica de enfermagem na termoregulação do recém-nascido pré-termo: do desenvolvimento ao uso de tecnologia educacional digital.,International Congress of Americanists,12,2019
A model for the initiation and propagation of electrical streamers in transformer oil and transformer oil based nanofluids.,ICCSEA ,4,2023
Configurable flows.,IJCSEIT ,12,2022
Characterization and modeling of nanocomposite thermoelectric materials system bismuth antimony telluride ((Biy̳Sb1̳-̳y̳)2̳Te3̳) as a function of temperature and magnetic field.,Association for Logic Language and Information,12,2020
Automated classification of complex morphological brain patterns in individuals with first-episode psychosis: assessment of diagnostic performance (Classificação automatizada de padrões morfológicos cerebrais complexos em indivíduos com primeiro episódio psicótico: avaliação de desempenho diagnóstico).,SERA ,11,2020
"Hypothesis, estimation, and validation of dynamic social models: energy demand modeling.",COMSCI ,5,2017
Ambientes digitais virtuais em saúde: alternativa para uma melhor qualidade de vida de crianças hospitalizadas.,IJNSA ,5,2018
Data clustering by optimum-path transform.,Aarhus Symposium,16,2023
Physiological time series retrieval and prediction with locality-sensitive hashing.,IC2E ,19,2017
Super-efficient rational proofs.,AIAD ,2,2017
The Monge array-an abstraction and its applications.,"IEEE--ICVR--Ei Compendex, Scopus ",13,2018
Sparse Coding and Compressed Sensing: Locally Competitive Algorithms and Random Projections.,IJESA ,11,2020
"Design, Modeling, and Simulation of a Compact Optoelectronic Neural Coprocessor.",IJCAx,2,2020
Compiler techniques for scalable performance of stream programs on multicore architectures.,International Congress of Orientalists,7,2023
"Salinity Assessment, Change, and Impact on Plant Stress / Canopy Water Content (CWC) in Florida Bay using Remote Sensing and GIS.",IHCI ,9,2023
RepliC: Replicação Elãstica de Banco de Dados Multi-Inquilino em Nuvem com Qualidade de Servião.,SEAS,6,2021
Exploring new representations and applications for motion analysis.,CBDA ,18,2021
"Robust, low complexity and energy efficient baseband receiver design for MB-OFDM UWB.",European Conference on Information Systems,9,2017
Matching sets of features for efficient retrieval and recognition.,MIET ,3,2020
Classification of codes relative to hierarchical order and extension property.,SEAS,17,2018
Sistema inteligente para a predição de grupo de risco de evasão discente.,SP ,9,2022
"Intelligent surveillance system employing object detection, recognition, segmentation, and object-based coding.",International Congress of Orientalists,8,2017
Sistemas perceptivos: um ensaio teórico.,IJANS ,14,2017
Recognition of three-dimensional compressed images and its traffic monitoring applications.,CSITA ,18,2023
Identification of Availability and Performance Bottlenecks in Cloud Computing Systems: an approach based on hierarchical models and sensitivity analysis.,Native American Literature Symposium,1,2020
"Huge networks, tiny faulty nodes.",NLCA ,2,2023
Reavaliação da formação do bibliotecário com base nos parâmetros de competência.,Demos@AIME ,18,2022
MobCache: mobilidade de provedor e armazenamento eficiente em redes sem fio orientadas a conteúdo.,Geohorizon,2,2017
"Automatic test, configuration, and repair of cellular arrays.",Aarhus Symposium,19,2019
Passive millimeter-wave retrieval of global precipitation utilizing satellites and a numerical weather prediction model.,CD-MAKE ,20,2018
Critérios de avaliação de técnicas de visualização de informações hierárquicas.,NEATCLasS ,4,2023
Meta-learning applied to gene expression data classification.,NLPA ,3,2019
"Tensors, sparse problems and conditional hardness.",IADSDTP ,14,2017
A class of dynamic nonlinear resource allocation problems.,IJSEA ,2,2022
A GPU-based architeture for supporting 3D interactions.,SE ,8,2023
"Low-cost, highly efficient, and tunable ultrafast laser technology based on directly diode-pumped Cr:Colquiriites.",IJP2P ,2,2023
Autopoiesis: percursos e sentidos da comunicação no trânsito da semiótica.,Association for Logic Language and Information,5,2018
On line training of school managers: interdisciplinary behavior in the logbook narratives (Formação online de gestores escolares: atitude interdisciplinar nas narrativas dos diários de bordo).,Nobel Conference,2,2020
Adaptable power conversion for grid and microgrid applications.,IJFCSTIA ,14,2021
Learning the dynamics of deformable objects and recursive boundary estimation using curve evolution techniques.,BigDaCI ,1,2017
Geological modeling using Bézier simploids.,DaMi ,9,2022
Metodologia para implantação de modelos multidimensionais em banco de dados orientado a objetos.,IJFCST ,3,2021
Desenvolvimento de um microcomputador dedicado para controle e aquisição de dados em titulação potenciometrica.,CASA--SCI ,10,2021
AVIV: a retargetable code generator for embedded processors.,IJCSEIT ,11,2022
"Análise do desempenho da irrigação em um projeto hidroagrícola no Sul da Espanha, utilizando Sistema de Informação Geográfica e avaliação socioeconômica.",IJITMC ,8,2023
Impacto da internet na difusão da cultura científica brasileira: as transformações nos veículos e processos de disseminação e divulgação científica.,IJP2P ,5,2023
Análise do processo decisório na administração pública e sistemas de apoio à tomada de decisão: contradições e paradoxos na realidade organizacional pelo não uso de ferramentas disponíveis.,IEEE-EI/Scopus-ITCC ,17,2020
Uma leitura outra: visualização de livros e de bibliotecas pessoais.,IJFCST ,19,2021
Compartilhamento Seguro de Registros EM Linguages de programação Dinâmicas.,IEEE-EI/Scopus-ITCC ,7,2023
Integrated model-based run-to-run uniformity control for epitaxial silicon deposition.,SOENG ,12,2018
Farma: uma ferramenta de autoria para objetos de aprendizagem de conceitos matemáticos.,IHCI ,9,2019
A Engenharia SemióTICA de Linguagens de Interfaces Multi-USUáRio.,IC2E ,4,2020
Measure of information flow with application in neuroscience (Medidas de fluxo de informação com aplicação em neurociência).,GreenCom ,3,2021
Critérios para a preservação digital da informação científica.,TPMC ,17,2018
Visualização explanatória de projeções multidimensionais (Explanatory visualization of multidimensional prejections).,ECTIJ ,7,2023
Concepção de sistema de informação de apoio à operação de sistemas complexos.,BDBS ,18,2017
Modelagem chuva-vazão em bacias hidrograficas com suporte em redes neurais artificiais.,IJMSA ,3,2017
"Geosystem, territory and landscape applied to the analysis of the risk of natural disaster occurrence in the state of Paraná.",MECHATROJ ,11,2017
Simulação de escoamentos sobre configurações tridimensionais com malhas de blocos múltiplos.,DMDBS ,12,2023
Desenvolvimento de um sistema quimiometrico para microcomputadores e algumas aplicações.,IJITCA ,20,2020
PHY-aware wireless link layer protocols.,GET ,6,2017
Nonparametric statistical methods for image segmentation and shape analysis.,dsaai ,10,2018
"Evaluation of uncertainty in dynamic, reduced-order power system models.",DMML ,12,2020
"Vibration, buckling and impact of carbon nanotubes.",SEC ,17,2023
Formulações convexas para problemas de controle H2 - robusto relativo a pertubações não-paramétricas.,The Science of Consciousness,11,2023
Stereological techniques for synthesizing solid textures from images of aggregate materials.,National Service Learning Conference,14,2021
Interactional processes on the Internet: analysis of digital conversation (Processos interacionais na Internet: análise da conversação digital).,SIGL ,13,2023
Um arcabouço baseado em componentes para computação paralela de larga escala sobre grafos.,Aspen Ideas Festival,18,2020
Processamento de imagens médicas e parâmetros hemodinâmicos: validação clínica de modelos cardiovasculares assistidos por computação científica.,NLPI ,14,2020
Gerador inteligente de sistemas com auto-aprendizagem para gestão de informçaões e conhecimento.,IJITCA ,19,2021
Macromodeling and optimization of digital MOS VLSI circuits.,"ICCEE--Ei Compendex, Scopus ",9,2019
Improving end-to-end availability using overlay networks.,IJSCAI ,17,2018
Fuzzy rule base identification via singular value decomposition.,DMAP ,10,2018
Electrification by liquid dielectric flow.,AIAD ,8,2020
Design of high-speed networks considering monofractal and multifractal traffic models.,International Congress of Quantum Chemistry,10,2020
The device applications and characterization of nonstoichiometric GaAs grown by molecular beam epitaxy.,CMIT ,18,2017
Development and applications of computational tools for mapping scientific production.,ADCO ,11,2017
Parallel and bio-inspired computing applied to analyze microwave and photonic metamaterial strucutures.,"IEEE--ICVR--Ei Compendex, Scopus ",15,2019
A model of security management for middleware based on tuple in diffuse and nomadic environments (Um modelo de gerência de segurança para middleware baseado em tuple para ambientes difusos e nômades).,IJSEA ,2,2020
Uma proposta de linguagem visual orientada a objetos para programação de microcontroladores.,IJGCA ,15,2021
Nonlinear control of switching power converters.,IJNSA ,12,2017
The new distributions: development and applications (Algumas novas distribuições: desenvolvimento e aplicações).,ACSIT ,13,2018
"Cadernos, pincéis e netbooks: modulações tecnológicas em uma escola da rede pública de ensino básico.",dsaai ,19,2018
Modelo de fusão dirigido por humanos e ciente de qualidade de informação.,Asian Symposium on Medicinal Plants Spices and Other Natural Products,1,2021
Slurry abrasive particle agglomeration experimentation and modeling for chemical mechanical planarization (CMP).,CBDA ,18,2019
Modelo computacional baseado em técnicas wavelets para relacionar imagens digitais obtidas em diferentes escalas e resoluções.,EH ,4,2017
ComplexView: um framework para a produção de jogos de empresas aplicados ao desenvolvimento de liderança com base na complexidade.,Asian Conference on Electrochemical Power Sources,10,2022
Three-Dimensional Inversion Technique in Ocean Acoustics Using the Parabolic Equation Method.,ADEIJ ,20,2017
Approximation algorithms for stochastic scheduling problems.,Computing in Cardiology,4,2017
Processo cognitivo de trabalho de conhecimento: um estudo exploratório sobre o uso da informação no ambiente de análise de investimentos.,SERA ,15,2023
Vivência em rede: uma etnografia das práticas sociais de informação dos usuários de redes sociais na internet.,BDAP ,13,2017
Determinação dos parametros de ordem de redes neurais pelo metodo cumulante.,CMIT ,1,2018
Optimization evolutionary algorithms multiobjective parallel to generate automated lighting outdoors designs.,IJASA ,10,2022
Semidenite representations with applications in estimation and inference.,"ACM--VRIP--EI, Scopus ",13,2017
Multiplexed photography: single-exposure capture of multiple camera settings.,DTMN ,6,2018
Program synthesis from execution traces and demonstrations.,"ACCC--Ei Compendex, Scopus ",1,2020
A teoria da computação de Alan Turing.,ADEIJ ,20,2019
Haptic interfaces and their application on computer mediated tactile communication.,DMA ,11,2023
Radiation and scattering of electromagnetic waves in layered media.,PBIJ ,3,2022
O conceito de projeto orientado à fabricação aplicado ao projecto assistido por computador.,"IEEE--CCAI--EI Compendex, Scopus ",1,2017
Caracterização do perfil da micro-alternância da onda T na cardiomiopatia hipertrófica.,SE ,5,2018
Roteamento utilizando potencial de entrega em redes tolerantes a atrasos.,AIS ,11,2023
Quantum-coupled single-electron thermal to electric conversion scheme.,National Service Learning Conference,12,2023
Processamento distribuido aplicado a analise de segurança estatica de sistemas de energia eletrica.,"ACM--ICCMS--EI Compendex, Scopus ",1,2018
Algorithms for data mining.,DMAP ,2,2017
Principled computational methods for the validation discovery of genetic regulatory networks.,BDBS ,4,2019
Faster linear algebra for data analysis and machine learning.,DaMi ,6,2019
Strong-field physics with ultrafast optical resonators.,SE ,19,2019
Restricted branching programs and hardware verification.,Asian Symposium on Medicinal Plants Spices and Other Natural Products,20,2019
Meshless deformable models for medical simulation applications.,Association for Logic Language and Information,15,2019
Performance limits for colloidal quantum dot and emerging thin-film solar cells.,IJASA ,16,2017
Content-based summarization of diagnostic hysteroscopy videos.,International Congress of Americanists,7,2023
A network traffic model for statistical process control techniques (Um modelo de tráfego de rede para aplicação de técnicas de controle estatístico de processos).,IJSCAI ,15,2021
Techniques for low-power high-performance analog-to-digital converters.,IDC ,2,2019
3D human gesture tracking and recognition by MENS inertial sensor and vision sensor fusion.,IJNSA ,19,2022
On the construction of some capacity-approaching coding schemes.,"IEEE--CCAI--EI Compendex, Scopus ",1,2018
Energy savings and performance improvements with SSDs in the Hadoop Distributed File System.,AIMS Meeting,3,2017
"Internet - Biblioteca - Comunidade Acadêmica: conhecimentos, usos e impactos; pesquisa com três universidades paulistas (UNESP - UNICAMP - USP).","ACM--ICBDC--EI Compendex, Scopus ",13,2019
Arquiteturas multi-tarefas simultâneas: SEMPRE: arquitetura SMT com capacidade de execução e escalonamento de processos.,SPM ,20,2018
Algoritmos para DiagnóStico Assistido de nóDulos Pulmonares SolitáRIOS EM Imagens de Tomografia Computadorizada.,Sp.issue LNLM - CI & Electrical Systems ,1,2018
"Metodologia de modelagem, simulação e programação off-line de robos e mecanismos mecatronicos integrados e direcionados a celulas de manufatura flexiveis.",Aarhus Symposium,19,2017
KITest: a fremework of knowledge and improvement of testing process.,International Congress of Actuaries,9,2019
Integrating small scale distributed generation into a deregulated market: control strategies and price feedback.,EI/Scopus--SPISCS ,2,2018
Aprovisionamento Adaptativo orientado à aplicação em redes virtualizadas.,MLNLP ,2,2021
Active power ancillary service provision of commercial building energy storage resources.,Nobel Conference,10,2017
Magnetic resonance imaging contrast agents for chemical sensing.,EDU ,18,2019
Integrated erbium lasers in silicon photonics.,IJITCA ,20,2017
Pentacene integrated thin-film transistors and circuits.,CSEA ,11,2021
BASS: um arcabouço de software para integração de sistemas de informação: um arcabouço de software para integração de sistemas de informação.,IJIST ,6,2021
O computador na perspectiva do desenvolvimento profissional do professor.,"WSEA--Ei Compendex, Scopus ",12,2023
Theory and simulation of amorphous organic electronic devices.,"ACM--VRIP--EI, Scopus ",8,2019
Contribuições aos métodos para localização de faltas em alimentadores de distribuição.,The Aging Symposium,19,2019
A contribution to the study of accounting as an information system (Uma contribuição ao estudo da contabilidade como sistema de informação).,IJANS ,2,2019
Formulações e algoritmos baseados em programação linear inteira para o problema quadrático da árvore geradora mínima. (Formulations and algorithms based on linear integer programming for the quadratic minimum spanning tree problem).,National Service Learning Conference,3,2017
Effect of Metal oxide semiconductor field-effect transistors threshold voltage variation on high-performance circuits.,IJP2P ,14,2020
Large-deviation analysis and applications Of learning tree-structured graphical models.,IJMIT ,19,2017
Modelagem Matemática e Métodos Numéricos para Simulação da Condução do Calor no Hélio Líquido.,IJFCST ,1,2020
"Measuring nanometer, three-dimensional motions with light microscopy.",IJSCAI ,14,2023
Sistema Multifinalitário de Cadastros: contribuição conceitual com ênfase nas restrições ambientais do Brasil.,"IEEE--PRML--Ei, Scopus ",2,2017
Development of a monolithic very large scale OEIC technology.,SE ,13,2022
Digital geometry modelling enhancement by straight line segment adaptive techniques (Modelagem em geometria digital aprimorada por técnicas adaptativas de segmentos de retas).,Association for Logic Language and Information,16,2019
Modelagem em simulação computacional do cristal e superfícies do BaZr'O IND. 3' e SrZrO IND. 3': propriedades eletrônicas e estruturais.,WBC ,8,2020
The effects of strain on carrier transport in thin and ultra-thin SOI MOSFETs.,IEEE-Ei/Scopus-CTISC ,9,2022
Análise de variações anatômicas neurovasculares da maxila por meio da tomografia computadorizada por feixe cônico.,AITIJ ,5,2022
Distributed nonparametric training algorithms for hypothesis testing networks.,NC ,7,2021
"Modelo para simulação e dimensionamento da irrigação por aspersão convencional, considerando a uniformidade de distribuição de água, o custo do sistema e a produtividade da cultura.",Demos@AIME ,10,2021
"Developing institutional decision support systems: A system study, simulation analysis, and DSS design for taxicab dispatching.",CSEIJ ,12,2023
Extração de estruturas e visualização de soluções de DFC de alta ordem.,ITCA ,1,2017
Construção coletiva do conhecimento: forma de atuação dos sujeitos em ambientes digitais/virtuais de aprendizagem.,I4CS ,16,2020
O modelo europeu do Centro de Recursos para el Aprendizaje y la Investigación (CRAI) e as bibliotecas universitárias brasileiras: convergências e divergências.,CBDA ,6,2019
Whole-organism integrative expressome for C. elegans enables in silico study of developmental regulation.,SEAS,1,2018
Rapid solution of potential integral equations in complicated 3-dimensional geometries.,AIMS Meeting,12,2023
Aplicação das equações de perturbações não lineares com sintetização da turbulência submalha para solução de escoamentos turbulentos.,BDBS ,3,2020
Procedimentos para prover confiabilidade ao uso de inteligência artificial em ensaios de desempenho de compressores herméticos de refrigeração.,DMML ,13,2019
Um modelo híbrido de recuperação de informação e conhecimento baseado na síntese de mapas conceituais obtidos por operações de transformação de redes complexas orientadas por busca de relacionamentos entre termos de consulta em bases de dados ligados.,NLPA ,5,2020
Complex objects in digital libraries: analyzing the management of image components.,IJMNCT ,10,2017
Femtosecond nonlinearities in AlGaAs diode laser amplifers.,NLPA ,18,2019
Performative design in recent practice: conceptual framework.,EDU ,19,2017
Transforms for prediction residuals based on prediction inaccuracy modeling.,IJFCST ,6,2022
Analysis and control of contagion processes on networks.,IJITCA ,5,2018
Programa computacional para ajuste de curvas polinomiais em experimentos envolvendo dados longitudinais.,Community Development & Leadership Summit,10,2019
Uma arquitetura para intercomunicação de ambientes de realidade virtual distribuídos baseados em aglomerados gráficos remotos.,"IEEE--CompAuto--EI, Scopus ",3,2017
Coding approaches to fault tolerance in dynamic systems.,Association for Laboratory Phonology,2,2021
Procedural reflection in programming languages.,"ACM--ICBDC--EI Compendex, Scopus ",14,2023
Geometric and topological approaches to semantic text retrieval.,NLPD ,2,2019
Proposta de dicionário informatizado analógico de língua portuguesa.,"ICCEE--Ei Compendex, Scopus ",1,2022
Automatic extraction of regions of interest from images based on visual attention models.,CSC ,18,2020
Principled approaches to robust machine learning and beyond.,Americas Conference on Information Systems,9,2018
A responsabilidade social da Ciencia da Informacao e/ou o olhar da consciencia possivel sobre o campo cientifico.,International Conference on Parallel and Distributed Systems,5,2017
"Games, protocols, and quantum entanglement.",IJASA ,13,2020
Comparative analysis of information retrieval methods for categorization of health-related web content.,International Congress of Orientalists,8,2023
Realization and approximation of stationary stochastic processes.,IJCSA ,20,2017
Microfabricated silicon electric mechanisms.,IJGCA ,11,2020
Towards a unified framework for sub-lexical and supra-lexical linguistic modeling.,"IEEE--PRML--Ei, Scopus ",19,2021
A context-aware and feedback-based approach for handover management in NGN.,AIS ,15,2019
Induction of translation lexicons and transfer rules for machine translation.,IJCAx,6,2017
An interactionist perspective of information systems delivery (ISD): A field study of the use and impact of a negotiated order process in the initial stages of the ISD.,IJSCMC ,19,2022
Synthesis of view invariance for high-level object features.,ACIJ,14,2019
Analog layout automation.,ADEIJ ,13,2017
Energy efficient operating systems and software.,"ICCSM--Scopus, EI ",8,2020
Solução integrada para auxiliar na garantia da qualidade na produção em pequenos lotes.,AIMS Meeting,6,2023
Um modelo para avaliação e acompanhamento contínuo do nível de aquisição de conhecimentos do aprendiz.,CoNeCo ,5,2020
Programação paralela aplicada ao método N-Scheme para solução de problemas com o método de elementos finitos.,NLPA ,12,2021
A study on the management of outsourcing services information technology based models of governance (Um estudo sobre a gestão da terceirização de serviços de tecnologia da informação baseados em modelos de governança).,CD-MAKE ,3,2019
Methods and tools for mining the transcriptomic landscape of human tissue and disease.,EAMM ,15,2017
Competência em informação na formação básica dos estudantes da Educação Profissional e Tecnológica.,Aarhus Symposium,20,2018
Long-term robot mapping in dynamic environments.,International Conference on Sociolinguistics,15,2017
Thermodynamically valid noise models for nonlinear devices.,SEAS,12,2023
Efficient exploration of affine space-time transformations for optimal systolic array synthesis.,"WSEA--Ei Compendex, Scopus ",8,2022
Toward sustainable networking: coded storage and high-traffic networks.,IJCSIT ,18,2017
Fuzzy connected protection structures.,"IEEE--ICVR--Ei Compendex, Scopus ",7,2020
"Advanced modeling ,control, and design of an electromechanical engine value drive system with a limited-angle actuator.",IJITMC ,6,2017
Summarizing static graphs and mining dynamic graphs.,"CCAT--Ei, Scopus ",20,2022
A sealed cavity thin-film acoustic resonator process for RF bandpass filters.,SAIM ,6,2017
"Arte contemporânea, museu e arquivo: desafios da ciência da informação.",International Conference on Web Services,17,2023
Spectral properties of semiconductor nanocrystals and their applications.,EL ,17,2021
From thought to action.,IJNSA ,1,2022
Desenvolvimento e validação de software para apoio ao ensino-aprendizagem sobre diagnósticos de enfermagem.,IJCI ,19,2017
O indice orbito-oftalmico (I00) e a aplicação de reconstruções tridimensionais de imagens para planejamento cirurgico e segmento de patologias da região orbitaria.,Games Learning & Society Conference,4,2023
"Intelligent on-line transformer monitoring, diagnostics, and decision making.",BDBS ,17,2020
A model-driven software reuse approach.,IJGCA ,18,2019
Agricultural land-use expansion dynamics in Brazil.,International Conference on Information Systems Security and Privacy,18,2021
AVDNet - arquitetura para ambientes virtuais distribuídos escaláveis baseada na infra-estrutura atual da Internet.,IJP2P ,19,2019
Codigos de bloco lineares sobre aneis de inteiros algebricos com alfabeto casado a GF (p).,IHCI ,15,2022
A comparison of parallel Gaussian elimination solvers for the computation of electrochemical battery models on the cell processor.,Sp.issue LNLM - CI & Electrical Systems ,6,2022
Efficient redundancy techniques to reduce delay in Cloud systems.,IPPR ,4,2020
Object management system concepts: supporting integrated office workstation applications.,IDC ,17,2017
The Importance of audiovisual Instruction as Perceived by the Deans and Professors of ALA accredited Library Schools.,ArIT ,2,2023
Automatic testing of software with structurally complex inputs.,"IEEE SEAI--EI Compendex, Scopus",8,2020
Theory and practice of verifiable secret sharing.,AITIJ ,20,2023
Modelo para sistemas da qualidade como base da estrategia competitiva.,I4CS ,3,2021
MEMS micropump for a Micro Gas Analyzer.,CSC ,20,2018
Flexible models for data lifetime in a competing risk scenario and latente activation schemes.,IJGTT ,19,2020
Minerafórum: um recurso de apoio para análise qualitativa em fóruns de discussão.,CMIT ,17,2019
Content recommendation in a collaborative project-based learning environment.,European Conference on Digital Libraries,10,2023
Coordination and competition in resource-constrained channels.,International Congress of Quantum Chemistry,4,2021
LCD-OpenPACS: sistema integrado de telerradiologia com auxílio ao diagnóstico de nódulos pulmonares em exames de tomografia computadorizada.,ICDT ,6,2022
Oráculos de teste para modelos Simulink-like.,European Conference on Digital Libraries,6,2017
Método de construção de ontologias multilingues com associação de conceitos a objetos em espaço 3D.,BDBS ,6,2021
Energy scalable reconfigurable cryptographic hardware for portable applications.,"NLPAI--Ei Compendex, Scopus ",20,2019
Estudo comparativo de mensuração radiografica em cortes tomograficos convencionais por metodos informatizados.,AVC ,5,2022
A epistemologia interdisciplinar na Ciência da Informação: dos indícios aos efeitos de sentido na consolidação do campo disciplinar.,MECHATROJ ,5,2022
Uso criativo das tecnologias da informação e comunicação na educação superior: atuação de professores e percepção de estudantes.,International Conference on Parallel and Distributed Systems,2,2019
"O uso das tecnologias digitais da internet na educação superior. representações docentes - entre o formal e o informal, as marcas da presença do possível.",RuhrSec ,9,2019
Arquitetura paralela reconfigurável baseada em fluxo de dados implementada em FPGA.,BDBS ,9,2022
Fenômenos terrestres como classes de objetos.,AMMS--EI and Scopus,5,2022
Inovação tecnológica na obtenção de madeira serrada de pinus com uso de programa otimizador de desdobro.,EI/Scopus--DMBDA ,4,2017
Underwater acoustic communication over Doppler spread channels.,AMS ,12,2021
Admission control and routing: theory and practice.,AIMS Meeting,7,2022
Essays in computational management science.,EDU ,5,2022
A systems analysis of the commercialization of information technologies by IT producing industries.,Aspen Ideas Festival,1,2018
Students' preference for online versus face-to-face academic advising based on individual learning styles.,IJESA ,7,2017
Certificação de componentes em uma plataforma de nuvens computacionais para serviços de computação de alto desempenho.,International Congress of Americanists,5,2018
"CompressãO de núMeros naturais, SequêNcia de Bits E Grafos.",SE ,5,2022
A organização de unidades do conhecimento em hiperdocumentos: o modelo conceitual como um espaço comunicacional para realização da autoria.,International Congress of Actuaries,16,2019
Representation and detection of shapes in images.,CSITA ,4,2018
GIS Mapping Network: Contributions to the Optimization of the Travel Time of the Rural Population to Health Service Facilities (Mapeamento de redes em SIG: proposta de otimização do tempo de viagem da população rural aos serviços de saúde).,International Congress of Americanists,7,2017
Perceiving and recognizing three-dimensional forms.,"ACM--ICCMS--EI Compendex, Scopus ",17,2017
Power and limitations of convex formulations via linear and semidefinite programming lifts.,INSIGHT ,11,2017
Simulation of anatomical structures and radiological images for quality control and processing (Simulação de estruturas anatômicas e imagens radiológicas para controle de qualidade e processamento).,IJCIS ,9,2020
Development and implementation of block-structured adaptive mesh refinement for parallel computations in fluid mechanics.,European Conference on Information Systems,1,2022
Communication error detection using facial expressions.,SOENG ,12,2022
Modelo de gestão do conhecimento centrado em usabilidade.,SE ,8,2023
"A dynamic, distributive and heterogeneous authorization policy management framework.",IJIST ,15,2020
Communication in decentralized control.,Community Development & Leadership Summit,13,2021
Information extraction with neural networks.,CSEIJ ,20,2021
Dos dados aos formatos - Um modelo teórico para o design do sistema narrativo no jornalismo digital.,Nobel Conference,5,2023
Inteligência computacional aplicada à engenharia de estruturas.,SEAS,1,2022
Análise numérica de novos métodos de elementos finitos estabilizados e enriquecidos aplicados à modelos de reação-difusão elíptico e parabólico.,"ACM--ICCMS--EI Compendex, Scopus ",20,2017
Modelos para o mapeamento de aplicações em infra-estruturas de comunicação intrachip.,NeTCoM ,3,2020
Processamento de informação em redes neurais sensoriais.,IJMECH ,13,2023
Modelo de Aprendizado Incremental Baseado em Uma Rede Neural com Arquitetura Adaptativa.,IJPLA ,2,2023
Dynamics of scientific communication: an application to science funding policy.,ICCCV--Ei and Scopus,19,2022
Construction methods of CSS quantum codes and relationships between quantum codes and matroids.,Asian Conference on Electrochemical Power Sources,7,2017
Multi-step-ahead streamflow forecasting using aggregation procedure in hydrothermal operation cheduling.,TSP ,9,2018
A system-centric approach for process scheduling optimization in computational grids (Uma abordagem orientada a sistemas para otimização de escalonamento de processos em grades computacionais).,IJESA ,18,2023
AbstraçãO para programaçãO Paralela: Suporte para O Desenvolvimento de Aplicações.,IJANS ,3,2021
Synergistic delineation and recognition of objects in images with applications in medicine.,The Science of Consciousness,13,2018
Spatial-perceptual design: a new comprehension for interactive visual representations (Design espacial-perceptivo: uma nova compreensão para representações visuais interativas).,IJITCS ,19,2017
Expert system prototype for hydraulic system design focusing on concurent engineering aspects.,RuhrSec ,4,2020
Hazard models on survival analysis.,European Conference on Information Systems,1,2021
The aluminum single-electron transistor for ultrasensitive electrometry of semiconductor quantum-confined systems.,IPPR ,12,2020
Two-dimensional plus three-dimensional rich data approach to scene understanding.,"ACM--ICCMS--EI Compendex, Scopus ",12,2023
Uma proposta de metodologia para escolha automática de descritores utilizando sintagmas nominais.,"WSEA--Ei Compendex, Scopus ",13,2020
The macroeconomics of price adjustments under information frictions and menu costs.,ADEIJ ,2,2020
Governança de ecossistemas de tecnologia da informação.,International Conference on Mechanical Industrial & Energy Engineering,13,2018
Projeto por computador de extrator liquido-liquido.,ITCA ,19,2021
New directions in queue inference for management implementation.,National Service Learning Conference,12,2019
Modelagem computacional de estruturas anatômicas em 3D e simulação de suas imagens radiográficas.,NC ,10,2021
Controle de autenticação tolerante a intrusões em federações de clouds.,DaMi ,9,2019
Preventing data leakage in web services.,IEEE-Ei/Scopus-CNIOT ,2,2020
Analysis of Eye Response to Video Quality and Structure.,"ACM--VRIP--EI, Scopus ",13,2018
Learning to solve problems in computer vision with synthetic data.,ICAIT ,10,2021
"Performance analysis of 2G, 2.5G and 3G cellular mobile systems.","ACM--ICCMS--EI Compendex, Scopus ",8,2021
Distributed decision making using a distributed model.,SPM ,12,2017
Performance evaluation for selection of approaches aimed at automatic composition of web services in service-oriented architectures and with QoS.,ACIJ,20,2020
Preservação digital na gestão da informação: um modelo processual para as instituições de ensino superior.,International Congress of Americanists,15,2018
A Dinâmica da ocupação pioneira na rodovia Transamazônica: uma abordagem de modelos de paisagem.,International Congress of Orientalists,6,2020
Numerical solution of nematic liquid crystals flows.,Georgetown Leadership Seminar,14,2023
Modeling and Security in Cloud and Related Ecosystems.,The Aging Symposium,3,2019
"Efficient, transparent, and comprehensive runtime code manipulation.",IEEE-EI/Scopus-ITCC ,9,2018
Análise de conteúdo de vídeo por meio de aprendizado ativo.,TSP ,5,2023
O processo de discretização do raciocínio matemático na tradução para o raciocínio computacional: um estudo de caso no ensino/aprendizagem de algoritmos.,IPPR ,11,2022
Pedestrian simulation: a route choice model to assess urban environments.,"ACM--ICHMI--Ei Compendex, Scopus ",11,2019
"Propagation models for multiple-antenna systems: methodology, measurements and statistics.","ACM--ICBDC--EI Compendex, Scopus ",5,2017
Development of a fault tolerant microcomputer system with ring architecture.,ICTS4eHealth,17,2023
Iluminação natural e consumo energético de edificações não residenciais: aplicação de redes neurais artificiais.,"IEEE--CompAuto--EI, Scopus ",2,2021
"Modelagem matematica para reator trifasico: modelos deterministicos, neuronais e hibridos.","ACM--VRIP--EI, Scopus ",16,2021
