paper,author
Motion planning for manipulators with many degrees of freedom - the BB-method.,Mohamed Medhat Gaber
Motion planning for manipulators with many degrees of freedom - the BB-method.,Pietro Coli
Motion planning for manipulators with many degrees of freedom - the BB-method.,James P. M. Ntozi
Motion planning for manipulators with many degrees of freedom - the BB-method.,André Frank Krause
Multimedia information system with automatic content retrieval.,Amritpal Singh Bhachu
Multimedia information system with automatic content retrieval.,Mohamed Medhat Gaber
Multimedia information system with automatic content retrieval.,Pietro Coli
Multimedia information system with automatic content retrieval.,James P. M. Ntozi
Multimedia information system with automatic content retrieval.,André Frank Krause
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,Amritpal Singh Bhachu
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,Mohamed Medhat Gaber
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,Pietro Coli
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,James P. M. Ntozi
Multimodale Interaktion in virtueller Realität am Beispiel der virtuellen Konstruktion.,André Frank Krause
Mustererkennung mit neuronalen Assoziativspeichernetzen.,Amritpal Singh Bhachu
Mustererkennung mit neuronalen Assoziativspeichernetzen.,Mohamed Medhat Gaber
Mustererkennung mit neuronalen Assoziativspeichernetzen.,Pietro Coli
Natural language in model world interfaces.,Amritpal Singh Bhachu
Natural language in model world interfaces.,Mohamed Medhat Gaber
Natural language in model world interfaces.,Pietro Coli
Natural language in model world interfaces.,James P. M. Ntozi
Natural language in model world interfaces.,André Frank Krause
Nebenläufiges Parsing - ein lexikalisch verteiltes Verfahren zur performanzgrammatischen Analyse beim Textverstehen.,Amritpal Singh Bhachu
Nebenläufiges Parsing - ein lexikalisch verteiltes Verfahren zur performanzgrammatischen Analyse beim Textverstehen.,Mohamed Medhat Gaber
Nebenläufiges Parsing - ein lexikalisch verteiltes Verfahren zur performanzgrammatischen Analyse beim Textverstehen.,Pietro Coli
Negation as failure in explanation-based generalization.,Amritpal Singh Bhachu
Negation as failure in explanation-based generalization.,Mohamed Medhat Gaber
Negation as failure in explanation-based generalization.,Pietro Coli
Neue Methoden zur Steuerung der Wassergabe mit neuronalen Netzen in der Bewässerungslandschaft.,Amritpal Singh Bhachu
Neue Methoden zur Steuerung der Wassergabe mit neuronalen Netzen in der Bewässerungslandschaft.,Mohamed Medhat Gaber
Neue Methoden zur Steuerung der Wassergabe mit neuronalen Netzen in der Bewässerungslandschaft.,Pietro Coli
Neue Methoden zur Steuerung der Wassergabe mit neuronalen Netzen in der Bewässerungslandschaft.,James P. M. Ntozi
Neural Generation of Textual Summaries from Knowledge Base Triples,Amritpal Singh Bhachu
Neural Generation of Textual Summaries from Knowledge Base Triples,Mohamed Medhat Gaber
Neural Generation of Textual Summaries from Knowledge Base Triples,Pietro Coli
Neural Generation of Textual Summaries from Knowledge Base Triples,James P. M. Ntozi
Neuronale Identifikation von Totzeiten.,Amritpal Singh Bhachu
Neuronale Identifikation von Totzeiten.,Mohamed Medhat Gaber
Neuronale Identifikation von Totzeiten.,Pietro Coli
Neuronale Identifikation von Totzeiten.,James P. M. Ntozi
Neuronale Identifikation von Totzeiten.,André Frank Krause
New foundations for automation of default reasoning.,Amritpal Singh Bhachu
New foundations for automation of default reasoning.,Mohamed Medhat Gaber
New foundations for automation of default reasoning.,Pietro Coli
New foundations for automation of default reasoning.,James P. M. Ntozi
New foundations for automation of default reasoning.,André Frank Krause
Non-trapping conditions and local energy decay for hyperbolic problems.,Amritpal Singh Bhachu
Non-trapping conditions and local energy decay for hyperbolic problems.,Mohamed Medhat Gaber
Non-trapping conditions and local energy decay for hyperbolic problems.,Pietro Coli
Non-trapping conditions and local energy decay for hyperbolic problems.,James P. M. Ntozi
Non-trapping conditions and local energy decay for hyperbolic problems.,André Frank Krause
Normalization in λ-calculus and type theory.,Amritpal Singh Bhachu
Normalization in λ-calculus and type theory.,Mohamed Medhat Gaber
Normalization in λ-calculus and type theory.,Pietro Coli
OASIS - an open architecture for secure interworking services.,Amritpal Singh Bhachu
OASIS - an open architecture for secure interworking services.,Mohamed Medhat Gaber
OASIS - an open architecture for secure interworking services.,Pietro Coli
OASIS - an open architecture for secure interworking services.,James P. M. Ntozi
OASIS - an open architecture for secure interworking services.,André Frank Krause
Oberflächenbasierte Segmentierung von Tiefenbildern.,Amritpal Singh Bhachu
Oberflächenbasierte Segmentierung von Tiefenbildern.,Mohamed Medhat Gaber
Oberflächenbasierte Segmentierung von Tiefenbildern.,Pietro Coli
Oberflächenbasierte Segmentierung von Tiefenbildern.,James P. M. Ntozi
Oberflächenbasierte Segmentierung von Tiefenbildern.,André Frank Krause
Objektlokalisation durch Adaption parametrischer Grauwertmodelle und ihre Anwendung in der Luftbildauswertung.,Amritpal Singh Bhachu
Objektlokalisation durch Adaption parametrischer Grauwertmodelle und ihre Anwendung in der Luftbildauswertung.,Mohamed Medhat Gaber
Objektlokalisation durch Adaption parametrischer Grauwertmodelle und ihre Anwendung in der Luftbildauswertung.,Pietro Coli
Objektlokalisation durch Adaption parametrischer Grauwertmodelle und ihre Anwendung in der Luftbildauswertung.,James P. M. Ntozi
Objektverfolgung in Farbbildfolgen.,Amritpal Singh Bhachu
Objektverfolgung in Farbbildfolgen.,Mohamed Medhat Gaber
Objektverfolgung in Farbbildfolgen.,Pietro Coli
Objektverfolgung in Farbbildfolgen.,James P. M. Ntozi
Objektverfolgung in Farbbildfolgen.,André Frank Krause
On modeling the spatiotemporal processing characteristics of the retina.,Amritpal Singh Bhachu
On modeling the spatiotemporal processing characteristics of the retina.,Mohamed Medhat Gaber
On modeling the spatiotemporal processing characteristics of the retina.,Pietro Coli
On modeling the spatiotemporal processing characteristics of the retina.,James P. M. Ntozi
On space-bounded learning and the Vapnik-Chervonenkis dimension.,Amritpal Singh Bhachu
On space-bounded learning and the Vapnik-Chervonenkis dimension.,Mohamed Medhat Gaber
On space-bounded learning and the Vapnik-Chervonenkis dimension.,Pietro Coli
On space-bounded learning and the Vapnik-Chervonenkis dimension.,James P. M. Ntozi
On the magnification of exchange graphs with applications to enumeration problems.,Amritpal Singh Bhachu
On the magnification of exchange graphs with applications to enumeration problems.,Mohamed Medhat Gaber
On the magnification of exchange graphs with applications to enumeration problems.,Pietro Coli
On the structure of the polynomial time degrees of recursive sets.,Amritpal Singh Bhachu
On the structure of the polynomial time degrees of recursive sets.,Mohamed Medhat Gaber
On the structure of the polynomial time degrees of recursive sets.,Pietro Coli
On the structure of the polynomial time degrees of recursive sets.,James P. M. Ntozi
On the structure of the polynomial time degrees of recursive sets.,André Frank Krause
On types and type consistency in logic programming.,Amritpal Singh Bhachu
On types and type consistency in logic programming.,Mohamed Medhat Gaber
On types and type consistency in logic programming.,Pietro Coli
On types and type consistency in logic programming.,James P. M. Ntozi
Operational reduction models for functional programming languages.,Amritpal Singh Bhachu
Operational reduction models for functional programming languages.,Mohamed Medhat Gaber
Operational reduction models for functional programming languages.,Pietro Coli
Operational reduction models for functional programming languages.,James P. M. Ntozi
Operational reduction models for functional programming languages.,André Frank Krause
Operationalisierung des Modells der Expertise mit KARL.,Amritpal Singh Bhachu
Operationalisierung des Modells der Expertise mit KARL.,Mohamed Medhat Gaber
Operationalisierung des Modells der Expertise mit KARL.,Pietro Coli
Operationalisierung des Modells der Expertise mit KARL.,James P. M. Ntozi
Operationalisierung des Modells der Expertise mit KARL.,André Frank Krause
Operationalizing reuse of software measurement planning knowledge.,Amritpal Singh Bhachu
Operationalizing reuse of software measurement planning knowledge.,Mohamed Medhat Gaber
Operationalizing reuse of software measurement planning knowledge.,Pietro Coli
Operationalizing reuse of software measurement planning knowledge.,James P. M. Ntozi
"PPO, eine objektorientierte Prolog-Erweiterung zur Entwicklung wissensbasierter Anwendungssysteme.",Amritpal Singh Bhachu
"PPO, eine objektorientierte Prolog-Erweiterung zur Entwicklung wissensbasierter Anwendungssysteme.",Mohamed Medhat Gaber
"PPO, eine objektorientierte Prolog-Erweiterung zur Entwicklung wissensbasierter Anwendungssysteme.",Pietro Coli
Parallel map analysis on the CM-5 for landscape ecology models.,Amritpal Singh Bhachu
Parallel map analysis on the CM-5 for landscape ecology models.,Mohamed Medhat Gaber
Parallel map analysis on the CM-5 for landscape ecology models.,Pietro Coli
Parallel map analysis on the CM-5 for landscape ecology models.,James P. M. Ntozi
Parallele Modelle für Deduktionssysteme.,Amritpal Singh Bhachu
Parallele Modelle für Deduktionssysteme.,Mohamed Medhat Gaber
Parallele Modelle für Deduktionssysteme.,Pietro Coli
Parallele Modelle für Deduktionssysteme.,James P. M. Ntozi
Parallele Modelle für Deduktionssysteme.,André Frank Krause
Parallele Suche mit randomisiertem Wettbewerb in Inferenzsystemen.,Amritpal Singh Bhachu
Parallele Suche mit randomisiertem Wettbewerb in Inferenzsystemen.,Mohamed Medhat Gaber
Parallele Suche mit randomisiertem Wettbewerb in Inferenzsystemen.,Pietro Coli
Parallele Suche mit randomisiertem Wettbewerb in Inferenzsystemen.,James P. M. Ntozi
Parallelization of search-based systems by static partitioning with slackness.,Amritpal Singh Bhachu
Parallelization of search-based systems by static partitioning with slackness.,Mohamed Medhat Gaber
Parallelization of search-based systems by static partitioning with slackness.,Pietro Coli
Parallelization of search-based systems by static partitioning with slackness.,James P. M. Ntozi
Parallelization of search-based systems by static partitioning with slackness.,André Frank Krause
Parallelverarbeitung in einem semantischen Netzwerk für die wissensbasierte Musteranalyse.,Amritpal Singh Bhachu
Parallelverarbeitung in einem semantischen Netzwerk für die wissensbasierte Musteranalyse.,Mohamed Medhat Gaber
Parallelverarbeitung in einem semantischen Netzwerk für die wissensbasierte Musteranalyse.,Pietro Coli
Parallelverarbeitung in einem semantischen Netzwerk für die wissensbasierte Musteranalyse.,James P. M. Ntozi
Parametergesteuertes Software Radio für Mobilfunksysteme.,Amritpal Singh Bhachu
Parametergesteuertes Software Radio für Mobilfunksysteme.,Mohamed Medhat Gaber
Parametergesteuertes Software Radio für Mobilfunksysteme.,Pietro Coli
Parametergesteuertes Software Radio für Mobilfunksysteme.,James P. M. Ntozi
Paraphrasen - Lösungen für antizipierte Leserprobleme bei der automatischen Textgenerierung.,Amritpal Singh Bhachu
Paraphrasen - Lösungen für antizipierte Leserprobleme bei der automatischen Textgenerierung.,Mohamed Medhat Gaber
Paraphrasen - Lösungen für antizipierte Leserprobleme bei der automatischen Textgenerierung.,Pietro Coli
Paraphrasen - Lösungen für antizipierte Leserprobleme bei der automatischen Textgenerierung.,James P. M. Ntozi
Paraphrasen - Lösungen für antizipierte Leserprobleme bei der automatischen Textgenerierung.,André Frank Krause
Perfect supercompilation - master's thesis.,Amritpal Singh Bhachu
Perfect supercompilation - master's thesis.,Mohamed Medhat Gaber
Perfect supercompilation - master's thesis.,Pietro Coli
Performance management in ATM networks.,Amritpal Singh Bhachu
Performance management in ATM networks.,Mohamed Medhat Gaber
Performance management in ATM networks.,Pietro Coli
Perspektivierungsprozesse bei der Sprachproduktion - Spezifikation und Modellierung der Abbildung von konzeptuellen Strukturen auf semantische Repräsentationen.,Amritpal Singh Bhachu
Perspektivierungsprozesse bei der Sprachproduktion - Spezifikation und Modellierung der Abbildung von konzeptuellen Strukturen auf semantische Repräsentationen.,Mohamed Medhat Gaber
Perspektivierungsprozesse bei der Sprachproduktion - Spezifikation und Modellierung der Abbildung von konzeptuellen Strukturen auf semantische Repräsentationen.,Pietro Coli
Perspektivierungsprozesse bei der Sprachproduktion - Spezifikation und Modellierung der Abbildung von konzeptuellen Strukturen auf semantische Repräsentationen.,James P. M. Ntozi
Perspektivierungsprozesse bei der Sprachproduktion - Spezifikation und Modellierung der Abbildung von konzeptuellen Strukturen auf semantische Repräsentationen.,André Frank Krause
Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.,Amritpal Singh Bhachu
Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.,Mohamed Medhat Gaber
Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.,Pietro Coli
Placement and global routing of VLSI Macro-cell layouts using genetic algorithms.,James P. M. Ntozi
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",Amritpal Singh Bhachu
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",Mohamed Medhat Gaber
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",Pietro Coli
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",James P. M. Ntozi
"Planbasierte Hilfeverfahren für direkt-manipulative Systeme - Erkennung, Vervollständigung und Visualisierung von Interaktionsplänen.",André Frank Krause
Planung kinematischer Trajektorien für Manipulatoren mit Hilfe von Subzielen und neuronalen Netzen.,Amritpal Singh Bhachu
Planung kinematischer Trajektorien für Manipulatoren mit Hilfe von Subzielen und neuronalen Netzen.,Mohamed Medhat Gaber
Planung kinematischer Trajektorien für Manipulatoren mit Hilfe von Subzielen und neuronalen Netzen.,Pietro Coli
Planung kinematischer Trajektorien für Manipulatoren mit Hilfe von Subzielen und neuronalen Netzen.,James P. M. Ntozi
Planung kinematischer Trajektorien für Manipulatoren mit Hilfe von Subzielen und neuronalen Netzen.,André Frank Krause
Practical soft typing.,Amritpal Singh Bhachu
Practical soft typing.,Mohamed Medhat Gaber
Practical soft typing.,Pietro Coli
Practical soft typing.,James P. M. Ntozi
Pragmatische Programmsynthese.,Amritpal Singh Bhachu
Pragmatische Programmsynthese.,Mohamed Medhat Gaber
Pragmatische Programmsynthese.,Pietro Coli
Problemzerlegung durch Nadelöhrmengen - ein modellbasierter Ansatz zur Akquisition von Kontrollwissen für Planungssysteme.,Amritpal Singh Bhachu
Problemzerlegung durch Nadelöhrmengen - ein modellbasierter Ansatz zur Akquisition von Kontrollwissen für Planungssysteme.,Mohamed Medhat Gaber
Problemzerlegung durch Nadelöhrmengen - ein modellbasierter Ansatz zur Akquisition von Kontrollwissen für Planungssysteme.,Pietro Coli
"Process-oriented consistency-based diagnosis - theory, implementation and applications.",Amritpal Singh Bhachu
"Process-oriented consistency-based diagnosis - theory, implementation and applications.",Mohamed Medhat Gaber
"Process-oriented consistency-based diagnosis - theory, implementation and applications.",Pietro Coli
"Process-oriented consistency-based diagnosis - theory, implementation and applications.",James P. M. Ntozi
Processing structured hypermedia - a matter of style.,Amritpal Singh Bhachu
Processing structured hypermedia - a matter of style.,Mohamed Medhat Gaber
Processing structured hypermedia - a matter of style.,Pietro Coli
Produkorientierte automatische Planung von Prüfoperationen bei der robotergestützten Montage.,Amritpal Singh Bhachu
Produkorientierte automatische Planung von Prüfoperationen bei der robotergestützten Montage.,Mohamed Medhat Gaber
Produkorientierte automatische Planung von Prüfoperationen bei der robotergestützten Montage.,Pietro Coli
Program and data transformations for efficient execution on distributed memory architectures.,Amritpal Singh Bhachu
Program and data transformations for efficient execution on distributed memory architectures.,Mohamed Medhat Gaber
Program and data transformations for efficient execution on distributed memory architectures.,Pietro Coli
Program checkers for algebraic problems.,Amritpal Singh Bhachu
Program checkers for algebraic problems.,Mohamed Medhat Gaber
Program checkers for algebraic problems.,Pietro Coli
Program checkers for algebraic problems.,James P. M. Ntozi
Program checkers for algebraic problems.,André Frank Krause
"Program modules, separate compilation, and intermodule optimisation.",Amritpal Singh Bhachu
"Program modules, separate compilation, and intermodule optimisation.",Mohamed Medhat Gaber
"Program modules, separate compilation, and intermodule optimisation.",Pietro Coli
Projection in constraint logic programming.,Amritpal Singh Bhachu
Projection in constraint logic programming.,Mohamed Medhat Gaber
Projection in constraint logic programming.,Pietro Coli
Projection in constraint logic programming.,James P. M. Ntozi
Proof reconstruction in classical and non-classical logics.,Amritpal Singh Bhachu
Proof reconstruction in classical and non-classical logics.,Mohamed Medhat Gaber
Proof reconstruction in classical and non-classical logics.,Pietro Coli
Proofs for traffic safety - combining diagrams and logic.,Amritpal Singh Bhachu
Proofs for traffic safety - combining diagrams and logic.,Mohamed Medhat Gaber
Proofs for traffic safety - combining diagrams and logic.,Pietro Coli
Protocols and caching strategies in support of internetwork mobility.,Amritpal Singh Bhachu
Protocols and caching strategies in support of internetwork mobility.,Mohamed Medhat Gaber
Protocols and caching strategies in support of internetwork mobility.,Pietro Coli
Protocols and caching strategies in support of internetwork mobility.,James P. M. Ntozi
Qualitative Analyse im Rahmen qualitativen und modellbasierten Schließens.,Amritpal Singh Bhachu
Qualitative Analyse im Rahmen qualitativen und modellbasierten Schließens.,Mohamed Medhat Gaber
Qualitative Analyse im Rahmen qualitativen und modellbasierten Schließens.,Pietro Coli
READLEX - ein wörterbuchbasierter Ansatz für die Erkennung und Analyse von Text in strukturierten Dokumenten.,Amritpal Singh Bhachu
READLEX - ein wörterbuchbasierter Ansatz für die Erkennung und Analyse von Text in strukturierten Dokumenten.,Mohamed Medhat Gaber
READLEX - ein wörterbuchbasierter Ansatz für die Erkennung und Analyse von Text in strukturierten Dokumenten.,Pietro Coli
Reaktives Planen mit gelernten Begriffen.,Amritpal Singh Bhachu
Reaktives Planen mit gelernten Begriffen.,Mohamed Medhat Gaber
Reaktives Planen mit gelernten Begriffen.,Pietro Coli
Reaktives Planen mit gelernten Begriffen.,James P. M. Ntozi
Reaktives Planen mit gelernten Begriffen.,André Frank Krause
Real computability and hypercomputation.,Amritpal Singh Bhachu
Real computability and hypercomputation.,Mohamed Medhat Gaber
Real computability and hypercomputation.,Pietro Coli
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,Amritpal Singh Bhachu
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,Mohamed Medhat Gaber
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,Pietro Coli
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,James P. M. Ntozi
Rechnergestützte Wissensakquisition für Werkzeuge zum Entwurf integrierter Schaltungen.,André Frank Krause
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,Amritpal Singh Bhachu
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,Mohamed Medhat Gaber
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,Pietro Coli
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,James P. M. Ntozi
Rechnergestützte Wissensakquisition für wissensbasierte Diagnosesysteme im Bereich dynamischer technischer Systeme.,André Frank Krause
Reconstruction and visualization of neuronal pathways from diffusion tensor data.,Amritpal Singh Bhachu
Reconstruction and visualization of neuronal pathways from diffusion tensor data.,Mohamed Medhat Gaber
Reconstruction and visualization of neuronal pathways from diffusion tensor data.,Pietro Coli
Reconstruction and visualization of neuronal pathways from diffusion tensor data.,James P. M. Ntozi
Reinforcement-Lernen in der Robotik.,Amritpal Singh Bhachu
Reinforcement-Lernen in der Robotik.,Mohamed Medhat Gaber
Reinforcement-Lernen in der Robotik.,Pietro Coli
Reinforcement-Lernen in der Robotik.,James P. M. Ntozi
Reinforcement-Lernen in der Robotik.,André Frank Krause
Rekonstruktionsverfahren zur optischen Tomographie.,Amritpal Singh Bhachu
Rekonstruktionsverfahren zur optischen Tomographie.,Mohamed Medhat Gaber
Rekonstruktionsverfahren zur optischen Tomographie.,Pietro Coli
Rekonstruktionsverfahren zur optischen Tomographie.,James P. M. Ntozi
Rekonstruktionsverfahren zur optischen Tomographie.,André Frank Krause
Relevancy-based use of lemmas in connection tableau calculi.,Amritpal Singh Bhachu
Relevancy-based use of lemmas in connection tableau calculi.,Mohamed Medhat Gaber
Relevancy-based use of lemmas in connection tableau calculi.,Pietro Coli
Relevancy-based use of lemmas in connection tableau calculi.,James P. M. Ntozi
Rendering for free form deformations.,Amritpal Singh Bhachu
Rendering for free form deformations.,Mohamed Medhat Gaber
Rendering for free form deformations.,Pietro Coli
Rendering for free form deformations.,James P. M. Ntozi
Representation and processing of knowledge about distances in environmental spaces - a computational model of inferred route distances investigating their qualitative and quantitative determinants.,Amritpal Singh Bhachu
Representation and processing of knowledge about distances in environmental spaces - a computational model of inferred route distances investigating their qualitative and quantitative determinants.,Mohamed Medhat Gaber
Representation and processing of knowledge about distances in environmental spaces - a computational model of inferred route distances investigating their qualitative and quantitative determinants.,Pietro Coli
Representation and processing of knowledge about distances in environmental spaces - a computational model of inferred route distances investigating their qualitative and quantitative determinants.,James P. M. Ntozi
Repräsentation und Verarbeitung von qualitativem Orientierungswissen.,Amritpal Singh Bhachu
Repräsentation und Verarbeitung von qualitativem Orientierungswissen.,Mohamed Medhat Gaber
Repräsentation und Verarbeitung von qualitativem Orientierungswissen.,Pietro Coli
Repräsentation und Verarbeitung von qualitativem Orientierungswissen.,James P. M. Ntozi
Repräsentation und Verarbeitung von qualitativem Orientierungswissen.,André Frank Krause
Repräsentation von lexikalisch-semantischem Wissen in einem System zur Verarbeitung natürlicher Sprache.,Amritpal Singh Bhachu
Repräsentation von lexikalisch-semantischem Wissen in einem System zur Verarbeitung natürlicher Sprache.,Mohamed Medhat Gaber
Repräsentation von lexikalisch-semantischem Wissen in einem System zur Verarbeitung natürlicher Sprache.,Pietro Coli
Repräsentation von lexikalisch-semantischem Wissen in einem System zur Verarbeitung natürlicher Sprache.,James P. M. Ntozi
Restructuring virtual memory to support distributed computing environments.,Amritpal Singh Bhachu
Restructuring virtual memory to support distributed computing environments.,Mohamed Medhat Gaber
Restructuring virtual memory to support distributed computing environments.,Pietro Coli
Robuste Navigation autonomer mobiler Systeme.,Amritpal Singh Bhachu
Robuste Navigation autonomer mobiler Systeme.,Mohamed Medhat Gaber
Robuste Navigation autonomer mobiler Systeme.,Pietro Coli
Robuste Navigation autonomer mobiler Systeme.,James P. M. Ntozi
Robuste Navigation autonomer mobiler Systeme.,André Frank Krause
SESAME - ein objekt- und datenflußorientierter Simulator für Modelle der Neuroinformatik und angrenzender Gebiete.,Amritpal Singh Bhachu
SESAME - ein objekt- und datenflußorientierter Simulator für Modelle der Neuroinformatik und angrenzender Gebiete.,Mohamed Medhat Gaber
SESAME - ein objekt- und datenflußorientierter Simulator für Modelle der Neuroinformatik und angrenzender Gebiete.,Pietro Coli
SESAME - ein objekt- und datenflußorientierter Simulator für Modelle der Neuroinformatik und angrenzender Gebiete.,James P. M. Ntozi
Safety assurance in interlocking design.,Amritpal Singh Bhachu
Safety assurance in interlocking design.,Mohamed Medhat Gaber
Safety assurance in interlocking design.,Pietro Coli
Safety assurance in interlocking design.,James P. M. Ntozi
Scientific visualization in virtual reality - interaction techniques and application development.,Amritpal Singh Bhachu
Scientific visualization in virtual reality - interaction techniques and application development.,Mohamed Medhat Gaber
Scientific visualization in virtual reality - interaction techniques and application development.,Pietro Coli
Scientific visualization in virtual reality - interaction techniques and application development.,James P. M. Ntozi
Segmentorientierte Analyse und nichtlineare Auswertung für die dynamische Unterschriftsverifikation.,Amritpal Singh Bhachu
Segmentorientierte Analyse und nichtlineare Auswertung für die dynamische Unterschriftsverifikation.,Mohamed Medhat Gaber
Segmentorientierte Analyse und nichtlineare Auswertung für die dynamische Unterschriftsverifikation.,Pietro Coli
Segmentorientierte Analyse und nichtlineare Auswertung für die dynamische Unterschriftsverifikation.,James P. M. Ntozi
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,Amritpal Singh Bhachu
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,Mohamed Medhat Gaber
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,Pietro Coli
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,James P. M. Ntozi
Selbsteinschätzende Lernverfahren - Möglichkeiten und Grenzen.,André Frank Krause
Selbstorganisierende neuronale Netzwerkmodelle zur Bewegungssteuerung.,Amritpal Singh Bhachu
Selbstorganisierende neuronale Netzwerkmodelle zur Bewegungssteuerung.,Mohamed Medhat Gaber
Selbstorganisierende neuronale Netzwerkmodelle zur Bewegungssteuerung.,Pietro Coli
Selbstorganisierende neuronale Netzwerkmodelle zur Bewegungssteuerung.,James P. M. Ntozi
Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition,Amritpal Singh Bhachu
Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition,Mohamed Medhat Gaber
Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition,Pietro Coli
Semantic Methods for Execution-level Business Process Modeling - Modeling Support Through Process Verification and Service Composition,James P. M. Ntozi
Semantische Mediation für heterogene Informationsquellen.,Amritpal Singh Bhachu
Semantische Mediation für heterogene Informationsquellen.,Mohamed Medhat Gaber
Semantische Mediation für heterogene Informationsquellen.,Pietro Coli
"Similarity, Logic, and Games - Bridging Modeling Layers of Hybrid Systems.",Amritpal Singh Bhachu
"Similarity, Logic, and Games - Bridging Modeling Layers of Hybrid Systems.",Mohamed Medhat Gaber
"Similarity, Logic, and Games - Bridging Modeling Layers of Hybrid Systems.",Pietro Coli
"Similarity, Logic, and Games - Bridging Modeling Layers of Hybrid Systems.",James P. M. Ntozi
"Similarity, Logic, and Games - Bridging Modeling Layers of Hybrid Systems.",André Frank Krause
Simulation of bioelectric fields - the forward and inverse problem of electro-encephalographic source analysis.,Amritpal Singh Bhachu
Simulation of bioelectric fields - the forward and inverse problem of electro-encephalographic source analysis.,Mohamed Medhat Gaber
Simulation of bioelectric fields - the forward and inverse problem of electro-encephalographic source analysis.,Pietro Coli
Simulation of bioelectric fields - the forward and inverse problem of electro-encephalographic source analysis.,James P. M. Ntozi
Simulierte Gestalt-Erkennung in Präsentationsgrafiken.,Amritpal Singh Bhachu
Simulierte Gestalt-Erkennung in Präsentationsgrafiken.,Mohamed Medhat Gaber
Simulierte Gestalt-Erkennung in Präsentationsgrafiken.,Pietro Coli
Simulierte Gestalt-Erkennung in Präsentationsgrafiken.,James P. M. Ntozi
Situationsanalyse bei Kontakten während der Ausführung von Roboterbewegungen in unsicheren Umgebungen.,Amritpal Singh Bhachu
Situationsanalyse bei Kontakten während der Ausführung von Roboterbewegungen in unsicheren Umgebungen.,Mohamed Medhat Gaber
Situationsanalyse bei Kontakten während der Ausführung von Roboterbewegungen in unsicheren Umgebungen.,Pietro Coli
Situationsanalyse bei Kontakten während der Ausführung von Roboterbewegungen in unsicheren Umgebungen.,James P. M. Ntozi
Steuerungsansätze auf der Basis Neuronaler Netze für sechsbeinige Laufmaschinen.,Amritpal Singh Bhachu
Steuerungsansätze auf der Basis Neuronaler Netze für sechsbeinige Laufmaschinen.,Mohamed Medhat Gaber
Steuerungsansätze auf der Basis Neuronaler Netze für sechsbeinige Laufmaschinen.,Pietro Coli
Steuerungsansätze auf der Basis Neuronaler Netze für sechsbeinige Laufmaschinen.,James P. M. Ntozi
Stochastic algorithms in scheduling theory.,Amritpal Singh Bhachu
Stochastic algorithms in scheduling theory.,Mohamed Medhat Gaber
Stochastic algorithms in scheduling theory.,Pietro Coli
Stochastic algorithms in scheduling theory.,James P. M. Ntozi
Stochastic models for performance analyses of iterative algorithms in distributed environments.,Amritpal Singh Bhachu
Stochastic models for performance analyses of iterative algorithms in distributed environments.,Mohamed Medhat Gaber
Stochastic models for performance analyses of iterative algorithms in distributed environments.,Pietro Coli
Stochastic models for performance analyses of iterative algorithms in distributed environments.,James P. M. Ntozi
Structural decomposition of hybrid systems.,Amritpal Singh Bhachu
Structural decomposition of hybrid systems.,Mohamed Medhat Gaber
Structural decomposition of hybrid systems.,Pietro Coli
Structural decomposition of hybrid systems.,James P. M. Ntozi
