paper,keywords,topics
Building object-based maps for robot navigation (Construção de mapas de objetos para navegação de robôs).,robôs).:maps:objetos,Symbolic Computation
Segmentação de pessoas em imagens estáticas baseada em esqueleto.,imagens:estáticas:pessoas,Discrete Mathematics
"Transverse effects of surgically assisted rapid maxillary expansion in the midpalatal suture, using computed tomography.","suture,:effects:maxillary",Cryptography and Security
Mediação e apropriação da informação pública: a educação fiscal.,pública::mediação,Distributed Parallel and Cluster Computing
CorrespondêNcia entre PEGs E Classes de GramáTicas livres de contexto.,correspondência:pegs,Cryptography and Security
O computador no ensino de lígnua inglesa no CEFET/RN.,inglesa:cefet/rn.,Artificial Intelligence
Electrical responses of neural units in the anteroventral cochlear nucleus of the cat.,electrical:units,Multimedia
Extended Kalman filter based pruning algorithms and several aspects of neural network learning.,several:extended,Databases
Corpus-based unit selection for natural-sounding speech synthesis.,synthesis.:natural-sounding,Information Theory
PD4CAT: a participatory design method for customized development of high assistive technology.,design:high:method,Sound
"Digitally-assisted, ultra-low power circuits and systems for medical applications.",circuits:medical,Social and Information Networks
Decisões do uso da tecnologia da informação: um estudo sobre o efeito das capacidades dinâmicas.,estudo:dinâmicas.:uso,Graphics
Monitoração ambiental e complexidade.,monitoração:ambiental, Computational Geometry
Modelo de ambiente virtual para a a aprendizagem de neuroanatomia.,ambiente:virtual,Computation and Language
EccoLogos: editor web para criação coletiva de documentos.,coletiva:eccologos::documentos.,Numerical Analysis
"Produção outsourcing, esquemas restringidos na transferencia de informação e aprendizado produtivo inter-firma: o caso da cadeia da computação no Mexico.",transferencia:esquemas,Numerical Analysis
Comparações clínicas funcionais e tomográficas entre a doença pulmonar obstrutiva crônica (DPOC) associada ao tabagismo e a DPOC associada à exposição ambiental e/ou ocupacional.,e/ou:tomográficas,Data Structures and Algorithms
Infrared-to-visible upconversion in hybrid thin films of colloidal nanocrystals and organic molecules.,thin:molecules.,Machine Learning
Dinâmica de populações e comunidades de borboletas e aves ao longo do tempo.,comunidades:tempo.,Other Computer Science
The dialectic of technological pedagogical content knowledge and their contributions to teaching action and to learning process supported by virtual environment (A dialética dos conhecimentos pedagógicos dos conteúdos tecnológicos e suas contribuições para a ação docente e para o processo de aprendizagem apoiados por um ambiente virtual).,knowledge:learning:action,Logic in Computer Science
Geodiscover - A niche search engine to discover geospatial data.,engine:discover:niche,Multimedia
Actor-critic algorithms.,actor-critic,Computational Complexity
Image-based illumination analysis and applications.,illumination:applications.,Cryptography and Security
"Design, fabrication and measurement of integrated Bragg grating optical filters.",integrated:bragg,Operating Systems
High-throughput routing for multi-hop wireless networks.,wireless:networks.:high-throughput,Computational Complexity
A unified information theoretic framework for pair- and group-wise registration of medical images.,medical:group-wise:pair-,Operating Systems
OtimizaçãO de mensagens E Balanceamento de jogos Multi-Jogador.,otimização:balanceamento,Symbolic Computation
The Fq-G method for large scale global optimization.,optimization.:method,Machine Learning
Climate precipitation prediction by self-configured neural networks.,networks.:climate,Other Computer Science
Tecnologias digitais e autonomia: a aquisição de segunda língua sob a ótica da complexidade.,segunda:tecnologias:autonomia:,Numerical Analysis
The impact of voltage scaling over delay elements with focus on post-silicon tests.,tests.:elements,Information Retrieval
Belief revision in description logics and other non-classical logics.,revision:belief:non-classical,Discrete Mathematics
Complementary metal oxide semiconductors passive pixel image design techniques.,pixel:techniques.,Human-Computer Interaction
Hybrid multilievel turbo codes.,multilievel:hybrid:turbo,Software Engineering
Investigation of the use of metrics applied into fMRI data for the analysis of cerebral dynamic.,fmri:metrics:cerebral,Mathematical Software
A framework to Web GIS application interface evaluation in the agriculture domain.,application:domain.,Operating Systems
Discovering linguistic structures in speech: models and applications.,models:applications.:speech:,Computational Complexity
Approximate value iteration approaches to constrained dynamic portfolio problems.,value:approximate:approaches,Neural and Evolutionary Computing
Dimensional extension: towards a unifying framework for instructional systems.,dimensional:framework:towards,Digital Libraries
Desenvolvimento de modelos de simulação para transistores MOS a temperaturas criogênicas (77K).,transistores:(77k).:simulação,Digital Libraries
Aprendizado e utilização do estilo de movimento facial na animação de avatares.,animação:aprendizado,Multimedia
Hot-carrier reliability assessment in CMOS digital integrated circuits.,assessment:reliability,Operating Systems
The perception of material qualities in real-world images.,perception:qualities,Formal Languages and Automata Theory
Estimação de razão de azares por meio de regressão quantílica para dados com censura à direita: uma abordagem computacional.,estimação:azares,Computational Engineering Finance and Science
Gestão estratégica de custos: panorama do ensino e pesquisa sob a ótica da teoria ator-rede.,sob:estratégica,Programming Languages
Precisão e acurácia de medidas lineares da mandíbula em imagens 3D obtidas por meio da tomografia computadorizada de feixe cônico.,precisão:feixe,Cryptography and Security
Uma proposta de métricas para a avaliação de taxonomias de anotações textuais em meio digital.,métricas:taxonomias,Multiagent Systems
Integration of photonic and passive microfluidic devices into lab-on-chip with femtosecond laser materials processing.,lab-on-chip:laser:materials,General Literature
Investments unwrapped: demystifying and automating technical analysis and hedge-fund strategies.,demystifying:hedge-fund:technical,Performance
Novos métodos heurísticos para o problema de minimização de pilhas abertas.,pilhas:abertas.:heurísticos,Multiagent Systems
Artificial intelligence techniques for modeling financial analysis.,analysis.:artificial,Sound
A performance driven approach for hardware synthesis of guarded atomic actions.,approach:guarded,Hardware Architecture
Estimativas do IWV utilizando receptores GPS em bases terrestres no Brasil: sinergia entre a geodésia e a meteorologia.,sinergia:estimativas:utilizando,Discrete Mathematics
Device design and process technology for sub-100 nm silicon-on-insulator metal oxide semiconductor field-effect transistors.,oxide:process:transistors.,Networking and Internet Architecture
Electromechanics of normal and degenerated cartilage: poroelastic behavior and electrokinetic mechanisms.,normal:behavior:poroelastic,Computers and Society
Analytical characterization of workload based on scenarios of multimedia applications.,characterization:multimedia,Computational Complexity
Novas metodologias AQM e TCP visando a eficiência de fluxos de controle UDP e dados TCP/IP compartilhados.,eficiência:visando:controle,Symbolic Computation
Round robin scheduling for fair flow control in data communication networks.,fair:robin,Machine Learning
Representação gráfica do tempo: efeito de gráficos na compreensão e retenção dos significados do Present Perfect e do seu contraste com o Simple Past.,retenção:compreensão:gráfica,Cryptography and Security
Hipertexto: o labirinto eletronico: uma experiencia hipertextual.,experiencia:eletronico:,Programming Languages
Self-stabilizing magnetic bearings for flywheels.,bearings:flywheels.:magnetic, Computational Geometry
Simulação e modelagem computacionais como recursos auxiliares no ensino de física geral il.,modelagem:recursos:computacionais,Multiagent Systems
Learning by learning to communicate.,learning:learning,Systems and Control
Metodologia para seleção de termos equivalentes e descritores de tesauros: um estudo no âmbito do Direito do Trabalho e do Direito Previdenciário.,trabalho:tesauros::termos,Artificial Intelligence
Unsupervised language acquisition.,language:acquisition.,Software Engineering
Practical Byzantine fault tolerance.,practical:fault,Formal Languages and Automata Theory
Lexicalização de ontologias: o relacionamento entre conteúdo e significado no contexto da recuperação da informação.,significado:ontologias:,Machine Learning
Routing in unreliable networks.,unreliable:routing,Formal Languages and Automata Theory
Algorithms for the analysis of protein interaction networks.,protein:interaction:analysis,Graphics
Integrated silicon photonic circuit simulation.,circuit:photonic,Digital Libraries
Stochastic approximation for non-expansive maps : application to Q-learning algorithms.,::non-expansive:maps,Logic in Computer Science
Métodos de contornos ativos Crisp adaptativo 2D e 3D aplicados na segmentação dos pulmões em imagens de tomografia computadorizada do tórax.,pulmões:segmentação,Multimedia
Computer simulation in community ecology: an intuitive interface between verbal and mathematical models (Simulações Computacionais em Ecologia de Comunidades: uma Interface Intuitiva entre Modelos Verbais e Matemáticos).,verbais:modelos:matemáticos).,Graphics
Virtual infrastructure for wireless ad hoc networks.,infrastructure:ad,Information Theory
Statistical analysis of concurrently active human motor units.,active:statistical,Social and Information Networks
Structure driven multiprocessor compilation of numeric problems.,compilation:problems.:structure,Numerical Analysis
Autoria de documentos para a Web Semântica: um ambiente de produção de conhecimento baseado em ontologias.,ontologias.:ambiente,Databases
Design and analysis of spatially-partitioned shared caches.,spatially-partitioned:shared:analysis,Human-Computer Interaction
Metodologia de estimação de estados para tratamento de medições errôneas e registros não sincronizados em algoritmos de localização de faltas em linhas de transmissão.,transmissão.:linhas:tratamento,Multimedia
Fluid dynamic modelling and simulation of gas-liquid-solid slurry systems using CFD: methanol synthesis.,gas-liquid-solid:systems:fluid,Computation and Language
Femtosecond fiber lasers at 1550 nm for high repetition rates and low timing jitter.,nm:femtosecond:low,Artificial Intelligence
Análise da aplicação de diferentes algoritmos de reconstrução de imagens tomográficas de objetos industriais.,diferentes:reconstrução:objetos,Graphics
Building dependability arguments for software intensive systems.,systems.:software:intensive,Operating Systems
On-line Chinese character recognition.,recognition.:on-line:chinese,Discrete Mathematics
Precision positioning and shock resistance of hard disk drives using piezoelectric actuators with passive damping.,disk:shock:hard,Robotics
Selective modal analysis with applications to electric power systems.,electric:power,Programming Languages
NSDTR: núcleo de sistema distribuído para aplicações de tempo real.,real.:distribuído,Computer Vision and Pattern Recognition
Empacotamento de elipsoides (Ellipsoid packing).,empacotamento:elipsoides,Computation and Language
Cooperative diversity in wireless networks: algorithms and architectures.,algorithms:architectures.:wireless,Machine Learning
Estruturando computaçõoes quânticas gerais e completas em Haskell: abordagem das setas.,setas.:computaçõoes,Logic in Computer Science
A hybrid genetic approach to solve real make-to-order job shop scheduling problems.,make-to-order:shop:scheduling,Computer Science and Game Theory
Creativity in action: Scripts of virtual animations elaborated by students of high school in Physics (Criatividade em ação: roteiros de animações virtuais elaborados por alunos de ensino médio em física).,virtuais:physics:virtual,Machine Learning
Reducing the interaction effort in digital image segmentation through machine learning (Redução no esforço de interação em segmentação de imagens digitais através de aprendizagem computacional).,machine:aprendizagem:computacional).,Neural and Evolutionary Computing
Modelo conceitual de gestão de competências para o profissional da informação com perfil de arquiteto da informação na gerência de espaços de informação digitais: estudo de caso.,conceitual:informação:arquiteto,Networking and Internet Architecture
Um modelo para organização de documentos no contexto da memória organizacional.,organizacional.:organização,Software Engineering
Extreme-submicrometer silicon-on-insulator (SOI) MOSFETs.,mosfets.:extreme-submicrometer,Operating Systems
Scientific writing in portuguese by hispanic speaking: linguistic-computational resources based on alignments methods of parallel text.,alignments:writing:speaking:,Other Computer Science
Estimadores de estado ortogonais com restrições de igualdade e desigualdade para a modelagem não-reduzida da rede externa.,restrições:externa.:estimadores,Information Retrieval
Technology-mediated learning in speech-language and hearing sciences: a comparison between three learning methods about the orofacial miofuncional system (Educação mediada por tecnologia em fonoaudiologia: uma comparação entre três métodos de aprendizagem sobre o sistema miofuncional orofacial).,orofacial).:orofacial,Programming Languages
Drowned in contracts: the impact of flexible work on the trajectories of IT workers.,contracts::work:drowned,Computational Complexity
Example-based interpolation for correspondence-based computer vision problems.,computer:example-based,Logic in Computer Science
"Proposta de modelo híbrido composta por wavelet, arima e redes neurais artificiais de funções de bases radiais para previsão de séries temporais: uma aplicação em um instrumento da barragem de Itaipu.",redes:séries,Sound
Fault-tolerance and load management in a distributed stream processing system.,system.:load,Hardware Architecture
Sistema de informação sobre violência urbana (SiViU) como apoio à tomada de decisão em políticas públicas de cidades médias.,públicas:urbana:sistema,Multiagent Systems
Computational techniques to support classification of images and other data (Técnicas computacionais de apoio à classificação visual de imagens e outros dados).,visual:outros:images,Neural and Evolutionary Computing
Design and demonstration of integrated micro-electro-mechanical relay circuits for VLSI applications.,applications.:relay:vlsi,Social and Information Networks
Three-dimensional flow calculations of axial compressors and turbines using CFD techniques.,compressors:three-dimensional:axial,Data Structures and Algorithms
Planejamento estratégico de informação: uma proposta de processos para aumento de eficácia gerencial.,aumento:estratégico,Performance
Reavaliações da GasNet e sua eficácia: além da proposição inicial.,eficácia::reavaliações,Numerical Analysis
All-optical interferometric switches for data regeneration in fiber optic networks.,networks.:data,Computer Vision and Pattern Recognition
Estudo prospectivo de eventos tromboembólicos após reoperações de alta complexidade em estimulação cardíaca artificial definitiva.,estimulação:complexidade:estudo,Mathematical Software
Use of temporal series analysis over the brazilian honeypot alliance data to predict the brazilian internet background radiation behavior.,honeypot:background:use,Computer Vision and Pattern Recognition
Sistematização do projeto de circuitos hidráulicos para o emprego de fluidos biodegradáveis.,fluidos:hidráulicos,Machine Learning
Hierarchical control and decomposition of decentralized linear stochastic systems.,control:decentralized,Discrete Mathematics
"Determinação da capacidade de uso da terra do município de São Manuel (SP), obtido por meio do sistema de informações geográficas (SIG) - IDRISI.",geográficas:determinação:idrisi.,Computer Science and Game Theory
Scheduling and handoff algorithms for 3g and 4G networks.,scheduling:handoff:networks.,Information Retrieval
Bereaved Mothers Blogs: mourning and communication technologies (Blogs de mães enlutadas: o luto e as tecnologias de comunicação).,blogs::technologies:luto,Emerging Technologies
Minimum spanning tree problem with minimum degree constraint and central and fixed terminals.,minimum:minimum,Networking and Internet Architecture
Teste baseado em modelo de aplicações orientadas a serviço.,aplicações:serviço.,Artificial Intelligence
Folkoncept: método de suporte à modelagem conceitual de ontologias a partir da aquisição de conhecimentos de folksonomias.,ontologias:partir,Computation and Language
Image sense disambiguation: a multimodal approach.,disambiguation::image,Software Engineering
Serviço de nuvem pública e sua relação com os arranjos de governança de TI e o alinhamento estratégico.,nuvem:relação:serviço,Computational Complexity
Practical distributed MIMO for WiFi and LTE.,mimo:lte.:practical,Machine Learning
Scaling Bayesian inference: theoretical foundations and practical methods.,methods.:foundations,Data Structures and Algorithms
A model for evaluating information systems of SUS with national scope (Um modelo para avaliação de sistemas de informação do SUS de abrangência nacional).,nacional).:model:(um,Programming Languages
"Knowledge and the Internet: search, exploration and the familiarity.","search,:familiarity.",Graphics
Efficient operation of coded packet networks.,coded:networks.:operation,Information Retrieval
Um Modelo de ComposiçãO DINâMICA entre Sistemas de Componentes de Software.,componentes:dinâmica:software.,Computers and Society
Algoritmos Imunoinspirados aplicados em segurança computacional: utilização de algoritmos inspirados no sistema imune para detecção de intrusos em redes de computadores.,aplicados:algoritmos,Graphics
Um modelo aberto para robôs manipuladores de serviço.,serviço.:manipuladores:modelo,Operating Systems
The presence of competence in information on National Book and Reading Plan: aspects of reading mediation and training of mediators.,presence:plan:,Multiagent Systems
Simulação numérica direta de alta ordem para escoamentos bifásicos água-ar.,direta:simulação:escoamentos,Systems and Control
Difusão de conhecimentos geocientíficos por meio de web-mapping: ensaio de aplicação temática com geoturismo em uma região da borda leste da bacia do Paraná.,geocientíficos:borda:meio,Social and Information Networks
The Cilk system for parallel multithreaded computing.,multithreaded:system:parallel,Neural and Evolutionary Computing
Programa de apoio à tomada de decisão em cardiopatias congênitas em página Web na Internet: modelo atresia tricúspide.,cardiopatias:apoio,Other Computer Science
Emergência da inteligência em agentes autônomos através de modelos inspirados na natureza.,agentes:modelos:inspirados,Software Engineering
"Desenvolvimento de um programa computacional para a integração de dados de projeto, fabricação e medição de peças torneadas com ênfase na síntese de tolerâncias dimensionais determinísticas.",determinísticas.:torneadas:tolerâncias,Hardware Architecture
Scheduling and synchronization for multicore concurrency platforms.,platforms.:concurrency:multicore,Neural and Evolutionary Computing
"Divisão de Tecnologia de Ensino de Sergipe (DITE): criação, consolidação e contribuição para o uso das tecnologias da informação e da comunicação nas escolas públicas sergipanas (1994-2007).",contribuição:informação:públicas,Software Engineering
O mecanismo de formação de preços em um mercado digital: uma análise por simulação em computador dos efeitos da utilização de agentes inteligentes de comércio eletrônico.,inteligentes:mecanismo:efeitos,Performance
A study of supply and demand of library and information workers in Kuwait: Five-year projections and recommendations for human resources planning.,workers:study,Operating Systems
DIFFMOBIL:: uma arquitetura de qualidade de serviço fim-a-fim em redes GPRS.,fim-a-fim:redes:gprs.,Graphics
Mathematical and numerical modeling of turbulent reactive ows using a hybrid LES / PDF methodology.,modeling:hybrid:pdf,Social and Information Networks
"Mínimos quadrados ordinários (MQO) na produção científica brasileira: a interdisciplinaridade entre a econometria e as metrias da informação (bibliometria, informetria e cientometria).","(bibliometria,:quadrados:metrias",Robotics
Fluxo informacional como processo à construção de modelo de avaliação para implantação de cursos em educação a distância.,avaliação:educação,Artificial Intelligence
Recuperação de poses humanas 3D a partir de imagens bidimensionais.,imagens:bidimensionais.:recuperação,Databases
Use of computers in structural elucidation of alkaloids (Emprego de computadores em elucidação estrutural de alcalóides).,structural:estrutural:computadores,Information Retrieval
Constructive global analysis of hybrid systems.,hybrid:global:constructive,Operating Systems
Risk and robust optimization.,robust:risk,Networking and Internet Architecture
Interação de crianças autistas com o mundo digital.,mundo:digital.,Hardware Architecture
Contributions to the sustainable development of a monitoring and control system for broiler houses.,sustainable:contributions,Operating Systems
Wattsworth: a vision for cyber physical system design.,physical:cyber:system,Computational Engineering Finance and Science
Multiscale stochastic realization and model identification with applications to large-scale estimation problems.,estimation:large-scale,Computers and Society
Through-substrate interconnects for 3-D integration and RF systems.,3-d:rf:interconnects,Logic in Computer Science
Leveraging text representations for clinical predictive tasks.,text:representations,Sound
Network coding for security and error correction.,error:network:security,Performance
Methods to forescast load behaviour during power systems restoration.,power:systems:behaviour,Cryptography and Security
Charge-carrier transport in amorphous organic semiconductors.,transport:organic,Mathematical Software
CBSC pipelined analog-to-digital converter.,analog-to-digital:cbsc:pipelined,Information Retrieval
Contribuição do modelo de organização de Karl Weick para a compreensão teórica do processo de entendimento compartilhado entre usuários e desenvolvedores sobre as demandas de desenvolvimento de sistemas de informação.,informação.:usuários:sistemas,Machine Learning
AutoexpressãO E Engenharia SemióTICA do USUáRio-Designer (Autoexpressão e engenharia semiótica do usuário-designer).,usuário-designer:semiótica:usuário-designer).,Formal Languages and Automata Theory
Desenvolvimento de um modelo de previsão de performance de projetos considerando a influência do estilo de liderança sobre a agilidade e a flexibilidade da organização.,liderança:organização.:desenvolvimento,Mathematical Software
Subword-based approaches for spoken document retrieval.,subword-based:retrieval.,Symbolic Computation
PDR in massive geo-distributed systems.,systems.:massive:geo-distributed,Distributed Parallel and Cluster Computing
Escolhendo a pílula vermelha: blogs na formação de professores.,blogs:vermelha:,Computer Vision and Pattern Recognition
Gráficos de X com esquemas especiais de amostragem para o controle de médias que oscilam ou para o controle de processos que geram observações autocorrelacionadas.,geram:oscilam,Databases
A framework for integrating interaction design and agile methods.,framework:interaction,Performance
Estruturação de um sistema de simulação de instrumentos de medição.,estruturação:medição.,Hardware Architecture
Segurança na sociedade da informação: uma visão desde a autonomia privada.,privada.:informação::segurança,Systems and Control
Sublinear algorithms for massive data problems.,sublinear:algorithms:data,Data Structures and Algorithms
A robust technique for detecting custom patterns of roundish features.,custom:features.:technique,Cryptography and Security
Routing and bandwidth management for multiparty videoconferencing.,multiparty:routing:videoconferencing.,Neural and Evolutionary Computing
Proposta de critérios de qualidade para avaliação da informação em saúde recuperada nos sites brasileiros da world wide web.,wide:world:informação,Computer Science and Game Theory
Robust and efficient robotic mapping.,mapping.:robust:robotic,Human-Computer Interaction
Fusão de dados em redes de sensores sem fio.,fio.:fusão,Digital Libraries
Designing end user information environments built on semistructured data models.,built:designing,Discrete Mathematics
Scaling CFL-reachability-based alias analysis: theory and practice.,analysis::scaling,Computer Science and Game Theory
Análise de domínio na aquisição de conhecimentos: ontologias para sistemas computacionais.,computacionais.:análise,Computers and Society
Frontiers in zero knowledge.,knowledge.:zero,Multimedia
Representações de imagens e vídeos baseadas em dicionários visuais.,representações:baseadas,Databases
Contribuição ao desenvolvimento de um sistema de gerência de pavimentos para a malha rodoviária estadual de Santa Catarina.,santa:estadual,Networking and Internet Architecture
Stochastic realization theory for exact and approximate multiscale models.,exact:realization:theory,Networking and Internet Architecture
New guarantees for cryptographic circuits and data anonymization.,cryptographic:guarantees:new,Distributed Parallel and Cluster Computing
Robust parsing with confluent preorder parser.,confluent:parser.:preorder,Programming Languages
Modeling and computer simulation of a three-dimensional problem of diffusion-advection using the Navier-Stokes equations.,simulation:three-dimensional,Software Engineering
"Sistema de caracterização de depósitos sedimentares em função das respostas latentes acústica, elétrica e térmica.","função:acústica,:elétrica",General Literature
Suporte à recuperação de imagens médicas baseadas em conteúdo através de Histogramas Métricos.,baseadas:conteúdo,Mathematical Software
A teoria da individuação de Gilbert Simondon: os modos físico e biológico de individuação.,individuação.:físico:simondon:,Computation and Language
Rearranjo de genomas: uma coletanea de artigos.,coletanea:rearranjo,Databases
Avaliação de usabilidade para os computadores de mão.,mão.:computadores,Logic in Computer Science
Problemas de roteamento com custos de carga.,problemas:carga.:custos,Other Computer Science
Texture aware approaches for enhancing visual appearance.,appearance.:approaches, Computational Geometry
Emprego de anonimato para a melhoria de privacidade no consumo de serviços em SaaS.,consumo:emprego:saas.,Software Engineering
Shared user-computer control of a robotic wheelchair system.,control:user-computer,Software Engineering
Desenvolvimento adaptativo para sistema de apoio a decisão específico.,sistema:apoio:adaptativo, Computational Geometry
Optimal quasi-static routing for virtual circuit networks subjected to stochastic inputs.,quasi-static:inputs.,Discrete Mathematics
A efetividade de feedbacks informatizados sobre a autoregulação da aprendizagem em cursos a distância: um estudo de caso na área da computação.,feedbacks:caso:efetividade,Hardware Architecture
Use of virtual environments to simulate radiological accidents.,accidents.:use,Social and Information Networks
Channel expansion theory: A dynamic view of media and information richness perceptions.,perceptions.:expansion:media,Computer Science and Game Theory
Neptune: The application of coarse-grain data flow methods to scientific parallel programming.,scientific:programming.,Distributed Parallel and Cluster Computing
Cryptographic key distribuition in sensor networks.,cryptographic:distribuition:key,Digital Libraries
MultiCluster: an integration model based on peer-to-peer protocols for the construction of local grids.,model:integration,Networking and Internet Architecture
Metodologia de desenvolvimento de ambientes informacionais digitais a partir dos princípios da arquitetura da informação.,digitais:arquitetura,Robotics
High frequency ultrasonic characterization of human skin In vivo.,human:vivo.:frequency,Computational Engineering Finance and Science
Towards Improvements in resource management for content delivert networks.,resource:management,Graphics
Automatic analysis of medical dialogue in the home hemodialysis domain: structure induction and summarization.,summarization.:domain:,Discrete Mathematics
Time series clustering for data streams.,data:streams.,Numerical Analysis
The value of field experiments in estimating demand elasticities and maximizing profit.,field:estimating:demand,Emerging Technologies
Security Benchmarking of Transactional Systems.,transactional:systems.,Networking and Internet Architecture
Digital control of contactless battery charging system.,contactless:digital:charging,Computer Science and Game Theory
Convex relaxation methods for graphical models: Lagrangian and maximum entropy approaches.,relaxation:maximum,Systems and Control
Probabilistic graphical models: distributed inference and learning models with small feedback vertex sets.,inference:small:vertex,Computation and Language
Computer simulation of processes to reduce CO2 emissions from thermoelectric power plants through biofixation by microalgae (SimulaÃÃo computacional de processos de reduÃÃo das emissÃes de CO2 de termoelÃtricas atravÃs da biofixaÃÃo por microalgas).,plants:biofixaãão:termoelãtricas,Multiagent Systems
High-precision optical and microwave signal synthesis and distribution.,high-precision:distribution.,Numerical Analysis
Computational simulation and optimization of different arragements of absorption cooling systems water-ammonia type GAX.,simulation:optimization:cooling,Social and Information Networks
Improving mobile cloud performance using offloading techniques and stochastic models.,mobile:cloud:models.,Neural and Evolutionary Computing
Spectrum-efficient modulation and channel coding for terrestrial broadcasting.,coding:modulation,Programming Languages
Um descritor de imagens baseado em particionamento extremo para busca em bases grandes e heterogêneas.,baseado:grandes:extremo,Information Theory
Spontaneous anonymous group cryptography.,cryptography.:anonymous:spontaneous,Systems and Control
Comportamento informacional e evocação de notícias: estudo de caso com estudantes de Comunicação Social.,informacional:evocação:estudo,Mathematical Software
The reliable router: an architecture for fault tolerant interconnect.,tolerant:fault:architecture,Graphics
Sistema de análise de sinal cardíaco para aplicação em telecardiologia.,aplicação:sinal:telecardiologia.,Operating Systems
Plataforma computacional híbrida de coprocessamento paralelo distribuído por web services aplicada à radiointerferometria.,coprocessamento:híbrida,Formal Languages and Automata Theory
Robust vector sensor array processing and performance analysis.,performance:sensor:processing,Networking and Internet Architecture
Arquitetura TBoot para inicialização confiável de sistemas dedicados.,arquitetura:confiável:inicialização,Other Computer Science
Identifying chromatin interactions at high spatial resolution.,resolution.:chromatin:high,Cryptography and Security
Visual routines and attention.,visual:attention.,Formal Languages and Automata Theory
An analysis of the effect of Gaussian error in object recognition.,recognition.:object:effect,Other Computer Science
Articulated pose estimation via over-parametrization and noise projection.,articulated:pose,Symbolic Computation
"Produção, caracterização e modelagem computacional dos aluminatos de bário.",bário.:aluminatos,Computer Vision and Pattern Recognition
Color coding for a facsimile system.,facsimile:color,Numerical Analysis
"Dynamics, control and simulation of elastic space servomechanisms and manipulators.","control:dynamics,:manipulators.",Logic in Computer Science
Determining molecular conformation from distance or density data.,data.:distance,Computational Engineering Finance and Science
"Optical signal generation, stabilization, and manipulation in broadband silicon photonics.","generation,:broadband:silicon",Social and Information Networks
Planejamento de infraestruturas de mobile cloud computing baseado em modelos estocásticos.,mobile:estocásticos., Computational Geometry
Decidability questions for Petri Nets.,petri:decidability:questions,Machine Learning
Raclouds: modelo para análise de risco em clouds no contexto de ativos de informações.,risco:clouds,Systems and Control
Modelo de segurança multilateral e RBAC em um ambiente de serviço no contexto de gerenciamento de contabilidade TINA.,contabilidade:contexto:modelo,Multiagent Systems
Estimador subsemble espacial para dados massivos em geoestatística.,espacial:massivos,General Literature
Inferência de gramática formais livres de contexto utilizando computação evolucionária com aplicação em bioinformática.,evolucionária:bioinformática.:contexto,Computer Vision and Pattern Recognition
Uma gramática LFG-XLE para o processamento sintático profundo da frase do português brasileiro.,frase:português:brasileiro.,Logic in Computer Science
"Multiplexing, scheduling, and multicasting strategies for antenna arrays in wireless networks.","antenna:multiplexing,:wireless",Robotics
Complexity reduction of convolutional and turbo decoding based on reliability thresholds.,complexity:reduction,Systems and Control
A methodology for the analysis and design of human information processing organizations.,design:analysis,Artificial Intelligence
Da produção do conhecimento científico à transferência de informações: análise da circulação de saberes no âmbito de duas redes de pesquisa agropecuária.,produção:circulação,Computer Vision and Pattern Recognition
Image restoration with operators modeled by artificial neural networks.,operators:artificial,Human-Computer Interaction
Approaches for combining classifiers and clusterers in classification problems.,classifiers:combining,Software Engineering
Mixed boundary value problems in microstrip and geophysical probing applications.,geophysical:mixed,Operating Systems
Prediction of severe convective events from weather model output using the rough set theory and metaheuristics for attribute reduction.,model:output:attribute,Neural and Evolutionary Computing
Tabletop coherent EUV and soft X-ray sources based on HHG.,soft:x-ray,Symbolic Computation
Projeção de séries temporais por meio de um método híbrido wavelet-neural integrado com bootstrap.,método:bootstrap.,Computers and Society
3D-Tri: um algoritmo de indução de árvore de regressão para propriedades tridimensionais - um estudo sobre dados de docagem molecular considerando a flexibilidade do receptor.,molecular:flexibilidade,Programming Languages
Multimidia engineering: methodological contributions to digital content production and use project management in education.,engineering::production:education.,Neural and Evolutionary Computing
Cost management of service composition.,cost:composition.:service,Information Theory
Data analysis using semisupervised fuzzy clustering and text mining.,mining.:fuzzy,Sound
On the structuring of information in computing security systems: the use of ontologies.,systems::structuring,Multiagent Systems
O Sistema de Informação e Gestão da Assistência Social de Pernambuco (SIGAS/PE): uma possibilidade para a articulação da rede socioassistencial?,informação:socioassistencial?:articulação,Software Engineering
"Modelagem, simulação e otimização de sistemas de evaporação.",otimização:sistemas,Computer Science and Game Theory
Transcriptional and epigenetic fluctuations in single cells.,transcriptional:epigenetic,Computational Engineering Finance and Science
Fabrication technology and measurement of coupled quantum dot devices.,measurement:quantum,Neural and Evolutionary Computing
Reliability of W-Band InAIN/GaN High Electron Mobility Transistors.,transistors.:w-band,Computation and Language
SEnsembles - uma abordagem para melhorar a qualidade das correspondências de instâncias disjuntas em estudos observacionais explorando características idênticas e ensembles de regressores.,disjuntas:observacionais:correspondências,Information Theory
Profissional da informação na busca de liderança e na convergência de competências.,convergência:competências.:busca,Software Engineering
Electrical and thermal modulation of protein synthesis in cartilage: a model for field effects on biological tissues.,tissues.:protein:biological,Multimedia
Dynamic computer simulation of drug addiction by means of artificial neural networks: a synthetic approach.,approach.:synthetic,Formal Languages and Automata Theory
Multi-representational security modeling and analysis.,security:analysis.:modeling,Mathematical Software
"Pela estrada do pensamento complexo na rota das tecnologias digitais: o aluno e o professor, o piloto e o navegador.",complexo:digitais::tecnologias,Multimedia
